909	43
909	55
350	1
350	3
350	36
593	2
593	12
110	1
110	14
352	1
352	2
473	4
473	73
111	2
111	100
353	1
353	2
232	1
232	50
232	81
232	108
476	1
476	4
510	4
510	62
512	2
512	57
513	3
513	65
359	3
359	25
758	5
758	10
758	19
758	38
94	2
94	7
94	39
517	16
913	10
913	14
913	21
913	28
913	35
913	55
759	1
96	2
519	1
519	2
120	1
362	46
483	3
483	22
363	1
121	1
121	3
121	4
121	21
121	24
243	1
763	1
763	103
401	2
401	25
885	7
885	13
885	16
885	19
885	50
885	80
523	1
523	2
523	22
920	12
920	18
920	28
920	34
920	35
920	37
920	56
920	84
403	6
405	1
405	14
405	24
405	100
527	1
527	14
527	33
527	322
407	1
407	3
805	1
929	1
929	4
929	6
929	54
929	82
929	118
929	124
929	320
23	1
23	65
23	141
1000	1
1000	4
492	20
252	1
252	2
252	3
252	24
373	7
373	135
494	2
253	1
253	14
375	1
375	4
496	9
496	10
496	15
496	31
497	1
497	7
497	8
497	12
497	271
497	298
497	301
497	307
652	2
652	15
377	1
377	4
257	2
257	4
257	5
499	2
137	1
137	6
137	53
138	1
138	2
413	1
413	3
413	5
413	7
656	1
656	6
415	1
415	4
415	5
415	7
415	24
415	114
813	1
813	6
813	89
815	1
815	3
937	1
937	38
938	15
938	18
141	1
141	16
142	1
142	2
142	7
142	15
142	17
266	1
266	4
266	6
266	8
266	50
266	162
420	4
420	11
388	1
148	1
148	2
269	1
545	1
545	2
424	8
424	17
424	19
820	1
820	6
820	16
820	37
820	171
820	222
820	242
427	1
427	89
427	147
429	9
429	13
429	25
429	34
429	61
429	64
44	10
44	17
44	43
44	47
44	52
44	94
44	99
44	319
396	4
430	2
430	46
397	21
277	1
277	34
830	14
830	21
830	35
830	161
951	14
951	64
798	35
798	57
712	2
712	15
956	1
956	3
58	1
280	1
681	1
681	7
681	20
561	33
561	38
287	7
442	2
442	5
960	1
960	4
201	1
201	70
201	167
169	7
169	22
169	123
567	12
567	37
567	92
1024	1
1024	7
568	1
568	7
568	97
1023	1
1023	84
965	2
965	3
965	5
965	6
327	1
327	6
327	24
327	62
605	1
605	2
848	1
848	2
606	1
606	17
606	21
606	33
606	35
606	79
64	1
64	11
64	15
64	16
64	21
64	30
64	32
64	33
64	34
64	44
64	69
608	1
608	2
68	1
296	1
296	3
296	4
296	27
330	6
330	8
330	41
330	100
330	178
177	3
177	5
970	1
970	8
454	1
454	10
454	48
454	65
454	92
851	24
851	25
851	27
851	28
851	40
851	45
851	53
851	61
851	76
611	4
611	12
974	3
974	13
736	1
736	2
858	11
858	13
617	2
617	79
617	84
77	5
77	6
186	1
341	2
341	3
342	2
342	5
342	44
189	1
189	2
620	1
346	2
346	37
984	1
742	2
226	8
226	30
622	1
622	21
348	1
348	2
504	1
505	2
505	10
505	23
627	1
903	2
629	4
629	12
629	96
904	5
904	14
86	2
86	3
86	13
86	14
86	17
86	21
86	24
86	26
86	34
86	50
509	19
509	40
509	84
509	117
509	140
509	168
905	16
905	24
905	59
