65736	2
65736	550
65736	562
65736	599
65736	611
65736	1376
65757	3
65757	4
65757	154
65757	1055
65757	1192
65757	1194
65757	1882
65757	1903
65757	1936
65757	1959
65757	1962
65785	3
65785	16
65785	157
65806	1
65806	1218
65806	1335
65853	1
65853	2
65853	23
65959	1
66009	1
66009	2
66009	13
66009	856
66009	1322
66023	1
66023	14
66023	50
66068	2
66084	1
66084	2141
66084	2147
66084	2148
66194	6
66209	1
66209	2
66209	9
66209	11
66209	26
66209	240
66209	1042
66235	1
66235	282
66338	1
66338	2
66359	1
66359	2
66419	4
66419	8
66442	2
66442	90
66442	181
66442	205
66442	1933
66442	1934
66471	3
66471	6
66471	92
66471	1269
66471	2118
66471	2168
66513	1
66513	9
66513	226
66524	1
66535	1
66535	530
66535	1929
66535	1933
66535	1940
66591	1
66591	2
66591	5
66602	1
66627	1
66665	1
66665	465
66841	1
66841	3
66841	2591
66842	3
66842	4
65776	7
65776	14
65776	741
65776	7
65776	14
65776	741
65776	7
65776	14
65776	741
66120	2
66120	16
66120	61
66120	119
66120	291
66536	2
66536	837
66548	5
66548	20
66548	34
66548	77
66548	105
66548	128
66548	236
66548	703
66548	1005
66686	6
66686	74
66686	289
66686	393
65677	2
65763	3
65763	1170
65921	1
65921	2
65921	345
65921	1261
65940	2
65991	1
66203	1
66276	9
66276	1555
66512	2
66512	557
66530	4
66530	1934
66574	1
66582	4
66582	389
66681	1
66681	362
65726	102
65726	183
65726	245
65726	270
65726	848
65952	282
65952	736
65952	744
65952	1689
66196	16
66196	35
66196	46
66196	346
66196	418
66196	821
66196	1858
66196	1935
66388	197
66554	12
66554	130
66567	99
66567	231
66567	493
66567	570
66567	699
66567	1409
66822	9
66822	854
66822	2244
66822	9
66822	854
66822	2244
66822	9
66822	854
66822	2244
66076	19
66076	27
66277	44
66277	87
66277	249
66277	350
66277	486
66277	44
66277	87
66277	249
66277	350
66277	486
66277	44
66277	87
66277	249
66277	350
66277	486
66277	44
66277	87
66277	249
66277	350
66277	486
66277	44
66277	87
66277	249
66277	350
66277	486
