3082	1
3082	2
1462	2
1583	9
1583	120
2793	8
2791	1
2791	2
590	1
590	2
590	27
2306	3
1458	2
1578	2
1578	3
1699	1
2304	1
1577	6
1577	12
2303	3
2303	15
2303	38
1455	2
2302	1
1333	4
1454	1
2301	1
2422	1
2422	3
2422	9
2422	22
2422	39
2422	180
2543	3
2308	1
2308	3
2549	1
2549	12
2683	1
1592	1
1592	4
1590	394
1104	1
1346	16
1346	17
1346	30
1346	58
1346	377
1224	2
1224	4
1224	6
1587	1
1587	2
1223	2
1342	3
1342	596
1584	31
1584	57
1584	79
1584	469
1584	608
2794	1
2794	2
925	1
925	3
925	16
1900	175
2439	1
2439	8
1919	35
1919	56
1919	92
1919	157
1919	255
1121	1
1363	191
1363	370
1241	28
1241	67
1240	2
1361	2
1361	159
2571	40
2571	121
1360	1
1360	163
2570	1
1480	3
1480	174
1239	1
1239	3
2328	2
1117	3
1117	18
1117	20
1117	46
1359	154
1359	165
2327	7
2327	39
1358	1
1236	9
1236	14
1357	1
2688	14
2688	19
2688	23
2688	25
2688	28
2688	858
1111	1
1353	3
1353	4
1353	6
1353	14
1353	114
1917	1
1917	2
1911	41
1911	240
819	1
819	5
819	8
2461	10
2461	196
1006	2
1369	1
1369	2
1369	3
1369	4
1369	6
1369	7
1369	8
1369	10
1369	46
2215	9
2215	70
2215	80
2457	6
2457	7
2457	8
2457	12
2578	1
2578	2
1367	148
1367	291
2698	1
2698	4
1366	30
1366	84
2455	5
2455	8
2455	11
2455	12
2697	18
2697	29
1365	65
1365	74
1364	20
1364	255
2574	1
2574	153
943	1
1927	1
1804	2
1804	10
1804	58
1802	1
1802	11
1143	477
1385	1
1385	4
1385	5
2111	2
2111	3
2111	5
2111	35
2595	1
2595	2
1384	51
2472	4
2472	5
2472	16
2350	1
2350	4
1380	28
2900	2
2900	16
1014	4
1014	26
1014	40
1014	54
951	1
951	5
2103	1
2103	2
831	2
831	7
2223	1
832	1
1133	1
1133	2
1133	36
1133	132
2101	1
2101	16
2101	215
2101	294
2222	13
2222	77
2908	1
1939	1
837	2
837	13
837	18
1934	3
1934	6
1154	10
1154	14
1396	6
1396	7
1396	182
1395	826
1151	1
1151	3
1272	2
1272	12
1272	15
1392	2
1392	28
1392	156
1269	1
1269	7
1940	1
1940	2
2237	1
1388	2
1388	3
1388	34
1388	183
1145	40
2919	3
1948	212
1948	303
1705	2
2913	2
1286	1
2012	17
1283	1
2493	1
1282	2
2492	1
1281	2
1281	4
1280	41
1280	103
1833	22
1038	1
1038	3
1951	1
2005	2
2005	13
2246	1
2246	6
2367	1
2367	3
1156	1
1156	3
1838	1
1838	2
1958	1
1958	3
1836	6
2023	91
2023	131
2386	1
2022	61
2022	124
2143	1
1295	9
2020	1
2140	3
2382	4
3109	5
3109	9
3109	28
3109	31
3109	57
1722	14
1964	3
1964	4
3108	1
3108	3
2931	1
2017	1
2017	5
2930	3
2016	25
2016	39
1289	1
1289	29
1289	65
2136	17
2136	527
2499	1
1287	1
1287	2
2013	1
2376	3
2376	4
2376	9
2376	22
2376	23
2376	25
2376	30
2376	47
2497	1
2497	2
2819	1
2819	3
2819	4
1608	3
1608	4
1607	7
1606	10
1606	41
1848	9
1848	17
1968	1
1968	3
2815	12
2935	8
2935	26
1603	18
1603	26
1603	29
1187	1
2276	4
2276	5
2276	6
2276	11
2276	19
2276	24
2276	31
2276	60
3122	19
3122	22
3122	34
3122	46
3122	67
2031	1
2392	1
2822	8
992	1
630	280
2941	2
2027	9
2027	14
1850	4
1850	8
1850	9
1850	73
2025	1
2709	2
2949	10
2948	1
2705	19
1614	40
1614	94
1735	1
1735	2
2045	1
2045	12
2045	288
2045	399
2165	4
3132	4
2280	1
1501	1
2832	6
2832	17
1500	4
1500	56
1500	97
1500	111
2831	4
2831	42
2831	50
2831	80
3128	6
3128	22
2038	1
2038	3
2036	1
2036	6
1980	20
527	1
527	4
527	13
527	15
2719	4
1507	293
1507	394
1628	7
1628	8
1628	10
1868	1
1868	2
2956	1
1880	1
2056	1
2056	2
2177	1
2177	13
2055	3
2055	7
2296	13
2296	21
2295	1
2295	3
1084	27
1084	32
3020	1
3020	7
1081	1
1081	9
1081	70
1081	175
1081	308
1998	33
1998	48
1998	103
1998	106
1998	112
1998	120
1998	176
1998	187
1998	224
1998	277
1998	289
1998	883
2845	4
2845	6
530	1
530	3
530	4
530	9
530	16
530	59
1633	101
1633	424
3019	13
2964	1
1752	71
896	1
1751	1
1751	2
655	2
655	14
655	29
1750	3
1750	4
1750	52
1750	140
2960	2
1199	1
1199	2
1870	1
3135	3
3135	4
1639	1
1639	3
2606	1
2606	28
2606	42
2606	55
2727	1
2727	2
1878	88
2604	1
2604	3
1770	6
2067	7
2067	8
2067	9
2067	25
2067	28
2067	48
2067	122
2067	129
2067	134
2067	135
2067	270
2067	596
3035	1
3035	2
1890	5
1890	15
2066	1
3034	2
3034	3
1404	16
1404	44
1404	349
1886	4
1764	1
1764	3
1764	7
1764	36
1885	3
1885	771
422	1
422	2
1521	4
2973	17
1520	1
1520	11
2851	32
787	3
787	4
787	14
3147	4
2057	513
547	1
1768	4
1768	17
1768	172
1768	193
2615	2
2615	3
2191	1
2191	2
2191	7
2191	39
2191	45
2191	112
2190	23
2190	37
2190	144
2190	147
2190	150
2190	244
2190	295
2078	1
2078	2
2198	1
2990	1
3045	5
3045	7
2072	29
670	1
670	47
3160	7
3160	49
3160	57
3160	133
1413	1
1413	2
1413	5
1412	179
1412	697
1532	1
1532	7
1653	6
676	3
676	33
1410	1
1410	3
3159	45
1772	3
1893	15
1893	19
1893	24
1893	49
3158	1
1771	3
2507	3
2507	5
3170	1
3170	2
1792	3
1792	8
1670	6
1670	10
1670	30
1670	109
3056	1
3056	4
3056	9
3056	11
3056	59
3056	70
3056	88
3056	103
3056	117
3056	152
3056	163
3056	167
3056	169
3056	172
3056	190
3056	202
3056	205
3056	229
3056	236
3056	237
3056	240
3056	242
3056	243
3056	247
3056	249
3056	254
3056	256
3056	273
3056	290
3056	292
3056	296
3056	314
3056	318
3056	369
3056	391
3056	392
3056	407
3056	409
3056	418
3056	426
3056	430
3056	431
3056	441
3056	443
3056	483
3056	494
3056	498
3056	506
3056	513
3056	528
3056	556
3056	570
3056	591
3056	609
3056	610
3056	618
3056	644
3056	645
3056	651
3056	654
3056	657
3056	658
3056	676
3056	711
3056	722
3056	750
3056	760
3056	771
3056	778
3056	858
3056	878
3056	921
3056	923
3056	950
3056	969
3056	1111
3056	1194
3056	1195
3056	1205
3056	1220
3056	1226
3056	1299
3056	1319
3056	1374
1790	308
2087	1
2087	5
3055	2
3055	4
2515	1
2515	4
2757	73
1425	1
1425	2
2511	48
2511	49
2511	71
2511	100
1300	1
1300	2
1662	1
2751	1
2751	4
1540	548
1661	9
1661	11
1661	51
1782	5
1308	1
1308	2
1308	4
1549	1
2879	1
2879	2
1561	1
2096	7
1679	26
2768	6
2768	14
2768	39
1553	5
1674	31
1795	1
1795	2
2882	5
2882	16
1439	6
1317	1
1317	4
2769	8
2769	10
1450	1
1450	7
3073	1
3073	17
3073	146
3073	209
1448	2
1448	6
1446	1
1446	2
2656	11
2897	1
2897	10
1444	4
1444	5
1444	26
1444	82
2533	4
467	1
467	2
1443	1
2895	1
2895	3
589	1
589	3
589	15
2410	1
2410	2
2531	6
1320	2
1683	1
2418	1
1328	1
