373	3678
257	7781
257	7786
257	7787
715	1435
1261	3681
1261	3683
973	3964
1505	14
1940	3
1940	3615
1940	7179
1965	39
1965	533
1965	7286
2150	7242
2150	7250
2150	7262
2150	13064
2486	53
2486	12714
2811	1479
2811	2309
2811	3263
2811	3706
2811	3772
2811	18309
3045	1125
3045	5020
3186	624
3186	5145
3186	5147
3186	5172
3186	5174
7069	8164
7415	12744
7544	5174
8585	12723
8585	12731
8585	12753
8785	5752
8798	12
8902	10502
9094	16629
10192	13598
10200	12291
10200	12348
10200	12363
10399	10111
10427	7834
10427	8179
