379	297
376	3
374	253
1903	1
1135	7
1510	114
741	10
1888	2
2270	137
2270	4
354	16
2265	36
343	1
3787	9
1105	10
334	1
716	2
1479	2
712	1
2626	35
2626	19
710	2
707	1
2238	193
321	301
2236	369
1086	2
1083	15
1083	2
2232	2
316	258
316	181
2610	7
2226	25
1840	4
1840	2
2603	1
1836	29
2218	19
2978	9
2978	253
2978	233
2978	33
2978	111
2594	2
679	2
1062	20
1062	73
3358	237
3358	13
3358	7
3358	55
2208	38
2588	3
1056	10
1056	71
288	5
2585	178
2585	552
2584	1
666	82
1049	11
1049	118
1045	298
1045	620
277	3
2957	1
2954	1
2954	56
2954	3
1421	285
2570	3
1037	1
2948	16
2948	4
266	22
266	67
266	57
1415	1
2562	1
1027	25
2941	1
2555	735
1022	21
1022	56
1404	1
2550	1
3315	75
3315	386
3315	16
3315	92
3315	13
3315	73
2932	371
2932	210
2932	278
2932	87
2932	476
2932	343
2932	334
2930	6
2929	80
2545	6
2157	137
2157	184
2920	1
1770	4
1385	2
618	58
2531	87
2531	22
2531	3
2531	21
2531	98
1763	2
2909	7
1756	2
1756	5
1756	4
2904	4
2904	2
2904	5
3283	54
3283	21
2899	1
2899	2
3281	83
3281	34
1360	1
2891	24
2508	536
205	1
1353	2
969	1
1351	42
1734	46
1344	15
2872	56
2104	1
2869	70
2869	217
2869	216
2869	17
2869	38
2869	8
2869	39
2869	91
2869	14
2102	9
2867	243
2867	207
2867	19
186	43
1718	14
1718	2
1718	11
2481	7
2481	1
2863	10
2863	3
1714	36
2856	63
2473	1
171	62
2851	69
2851	160
2851	364
2085	1
2850	295
2850	589
2850	1
2467	24
2847	3
2846	72
2846	10
548	20
546	30
546	4
546	11
546	2
1686	11
2834	1
2834	30
2450	2
2449	3
2449	7
2449	4
2827	20
2827	14
2443	24
142	226
1667	4
1667	244
1667	3
1667	1
2050	2
2050	3
2050	1
2814	1
898	115
513	6
1662	86
2041	5
2040	128
122	14
1652	304
2417	71
2417	151
2030	16
2409	1
1258	174
872	12
2404	1
2786	3
104	2
864	70
3160	12
95	5
1624	127
857	3
2005	15
86	117
2381	243
2381	216
3138	214
3138	2
3138	1
3138	61
1223	97
1223	53
1223	29
2754	5
2754	13
839	4
1988	7
1988	2
1988	5
2371	94
2371	116
838	5
2751	162
2751	114
2751	191
836	6
836	1
1599	1
1982	6
2747	141
2747	2
2747	158
2747	122
2747	143
2746	8
2746	2
2746	1
831	5
1594	290
2357	252
2357	230
1206	17
1966	4
50	551
1582	16
1582	25
1582	4
1581	4
3111	221
3111	4
3111	1
3111	84
2727	1
3106	72
3106	188
3106	85
3106	163
3106	122
3106	67
2722	1
1189	70
1189	21
803	114
34	2
2328	5
2327	6
2327	5
2327	1
794	1
1559	5
2707	1
23	124
1172	2
1555	1
1555	3
1555	2
1938	132
1938	19
1938	786
1938	115
1938	6
1938	21
2320	6
19	1
1929	12
1927	1
1927	143
1927	4
1927	3
2690	7
2690	342
2690	336
2690	255
2690	190
2690	67
1158	3
1156	7
2	7
3447	8
