1328	3
1375	12
1377	8
1393	6
1403	1
1407	1
1368	1
1402	8
1410	24
1410	777
1431	1
1449	343
1449	523
1545	7
1545	16
1531	16
1531	58
1517	2
1551	2
1601	79
1620	41
1620	100
1672	1
1672	4
1672	13
1463	1
1463	2
1463	10
1463	23
1658	3
1658	32
1658	50
1711	190
1560	1
1560	2
1560	3
1560	4
1560	9
1560	10
1560	11
1560	13
1560	17
1560	20
1560	21
1560	32
1560	241
1560	267
1560	275
1560	356
1560	374
1560	695
1772	1
1785	1
1730	3
1757	1
1757	13
1757	19
1757	90
1757	93
1757	102
1757	108
1757	110
1757	111
1757	113
1757	135
1757	145
1757	262
1757	263
1757	264
1757	265
1757	266
1757	267
1794	12
1810	3
1861	3
1861	13
1861	102
1861	214
1861	251
1861	299
1861	330
1861	619
1861	688
1886	38
1947	194
1947	433
1937	2
789	8
789	9
789	24
789	30
789	64
789	347
789	408
1946	3
1776	21
1776	683
1996	116
1460	40
1460	62
2033	3
2033	14
2033	46
2033	403
1974	52
2065	1
2065	9
2065	19
1752	34
1752	231
2120	55
2096	1
2136	3
2197	1
2206	423
2014	2
2210	13
2221	1
2304	105
2328	98
2344	573
1949	69
2333	49
1746	29
1746	33
1746	61
1746	210
2343	7
2016	7
2161	3
2161	28
2438	28
2438	146
2354	164
2477	12
2477	89
2481	8
2481	53
2481	67
2481	102
2513	3
2513	467
2494	272
1745	4
1745	5
1745	74
2505	7
2505	83
2521	7
2521	16
2521	98
2397	4
2306	1
2566	1
2519	1
1994	1
2575	2
2564	11
2559	1
2468	1
2574	5
2574	6
2574	13
2574	43
2574	91
2574	125
2574	255
2625	9
2625	25
2625	38
2625	42
2625	45
2625	57
2625	69
2625	76
2625	79
2625	116
2625	145
2625	217
2625	390
2625	513
2398	1
2399	1
2475	131
2475	204
2474	1
2474	2
2474	4
2474	77
2619	9
2619	15
2619	32
2619	35
2619	36
2619	41
2619	63
2619	75
2619	78
2619	81
2619	143
2619	152
2619	161
2619	312
2619	808
2650	4
2650	355
1271	28
2690	479
2687	99
2663	3
2663	8
2101	1
2101	3
2502	6
2502	37
2502	46
2502	671
2651	767
2739	24
2732	619
2777	1
2808	1
2808	3
2760	2
2760	15
2760	61
2718	16
2718	22
2762	83
2809	261
2809	368
1873	1
1873	4
1873	9
1873	159
2507	55
2507	61
2507	77
2507	190
2853	1
2869	19
2869	213
2877	38
2877	608
2875	1
2319	1
2319	6
2319	17
2319	65
2319	136
2840	3
2618	1
2880	1
2887	1
2887	6
2896	1
2962	14
2962	23
2949	3
3046	3
2911	165
2654	12
2654	369
2654	578
3016	3
3147	13
3020	1
3218	3
2912	123
2912	246
2912	381
3203	390
3203	814
3241	1
3241	8
3241	15
3241	34
2780	14
3259	27
3259	34
3315	1
3315	2
3331	43
3280	15
3104	5
3104	170
3207	16
3207	21
3207	687
3365	39
3375	2
3375	6
3375	21
3105	1
3105	21
3105	22
3105	48
2902	3
3002	19
1513	8
1513	9
3448	9
3448	76
3396	1
3438	9
3438	43
3438	238
1948	1
3568	3
3479	67
3479	257
3479	272
3479	494
3479	535
3479	639
3479	816
3329	144
3329	720
3329	913
3435	54
3556	2
3610	97
3507	5
3696	5
3430	9
3023	1
3023	43
3731	2
3534	4
3534	11
3534	75
3492	15
3823	1
3348	1
3844	46
3875	11
3875	307
3875	729
3719	1
3900	8
3913	12
3913	79
3913	90
3913	196
3913	303
3905	1
3957	33
918	7
918	15
918	28
918	73
918	116
918	118
918	132
918	231
918	273
918	428
918	490
918	634
918	835
3968	19
3986	1
3986	7
3989	20
3989	31
3989	111
3939	185
3881	3
3881	266
3830	4
3429	14
2376	1
3419	14
4093	8
4093	21
4093	25
4093	639
4089	1
4074	18
4074	20
3683	25
4106	9
4132	3
4151	55
4008	24
4149	2
4167	9
4133	1
4133	229
4185	166
3548	33
3548	60
3548	183
4247	1
4247	13
4263	2
4205	27
4250	123
4323	62
2081	11
4347	8
4388	51
4388	84
3657	1
3657	2
4331	62
4409	1
4409	4
2129	27
3988	7
3619	301
3619	519
4423	20
4320	5
4320	14
4320	118
4320	246
4320	661
4320	691
4320	961
4320	962
4320	967
4443	1
4443	216
4443	529
2480	6
4275	2
4234	2
4234	7
4234	12
4234	27
4234	33
4470	1
4470	2
4475	52
4475	131
2542	762
4441	8
4441	26
4483	1
4489	2
4498	258
4511	1
4487	14
2881	1
2881	2
2807	26
2807	88
2807	122
4580	131
4580	164
4580	598
4579	97
4602	4
4602	13
4604	2
4088	4
4088	28
4088	36
3623	7
3623	122
4075	1
4168	1
4168	6
4168	9
4168	10
4391	1
4464	1
4464	41
4464	59
4464	86
3095	1
3095	166
4670	11
4690	2
4548	3
4549	3
4435	1
4435	289
4668	1
4668	69
4120	1
4644	45
4644	80
4644	95
4644	135
4657	1
4657	3
4657	4
4657	6
4657	11
4657	12
4657	82
4657	104
4736	1
4736	4
4730	1
4730	6
4730	10
4730	308
4732	9
4732	139
4751	9
4751	25
4751	39
4715	90
4654	4
4654	7
4654	14
4654	15
4654	45
4777	30
4757	2
4757	7
4757	92
4684	20
4684	29
4800	5
4800	31
4800	700
4754	2
4686	1
